mol_id,formula,PCE_SAScore_compl_FF065,SAScore,gap_eV,HOMO_eV,LUMO_eV,reactive_groups,stable,SMILES,reactive_recomputed,stable_recomputed
19598,C9H7NO4,2.081770630328802,6.50175644094499,1.896633537985,-5.03410623425,-3.137472696265,,True,Oc1oc2=c([nH]c1C)ccc(=O)c2=O,,True
22936,C22H17N3O6S,1.9940527666974592,7.154139840107431,2.043575017255,-5.102134696875,-3.05855967962,,True,CC(=O)Nc1ccc(cc1)Nc1cc(c(c2c1C(=O)c1ccccc1C2=O)N)S(=O)(=O)O,,True
21736,C12H11NO6,1.747842125616386,6.813098324236166,1.9456140310750003,-5.031385095745001,-3.0857710646700003,,True,CCOC(=O)Cc1[nH]c2=c(oc1O)c(=O)c(=O)cc2,,True
9168,C26H16,1.5503234853990184,6.905585891282548,1.7714611667549995,-4.97968346415,-3.2082222973950003,,True,c1ccc2c(c1)c1ccc3c(c1cc2)ccc1c3ccc2c1cccc2,,True
