mol_id,functional,status,E_HOMO,E_LUMO,gap_eV,lambda_hole_eV,lambda_electron_eV,lambda_ratio,E_n_neutral,E_c_neutral,E_c_cation,E_n_cation,E_a_neutral,E_a_anion
17851,b3lyp,success,-4.282106704676571,-3.720835181294643,0.5612715233819281,-0.25162516183943784,2.1825312282786618,0.11529052073994461,-20437.71060954871,-20432.06529119846,-20433.255636275586,-20439.152579787675,-20438.927955799507,-20442.800386130515
17851,camb3lyp,success,-5.116525638895794,-3.224451693770308,1.8920739451254862,-0.47233120621087704,2.475555285744511,0.1907980843452768,-20427.119841201627,-20421.804114259587,-20423.159531086807,-20428.94758923506,-20428.79090909156,-20432.843671509483
17851,wb97x-d3,success,-5.972219682322767,-2.376892359431214,3.595327322891553,-0.5302018882076206,1.7538675940046025,0.30230439858747354,-20433.126301943852,-20427.839926938337,-20429.210381710378,-20435.0269586041,-20435.67333867395,-20438.97167028823
977,b3lyp,success,-6.167626312590288,-4.216498843166896,1.9511274694233922,0.5478628359657568,1.683753656171647,0.325381824091437,-4088.4284794594573,-4077.7171132031744,-4077.7395705306335,-4087.903073950951,-4088.328628576123,-4089.735634198156
977,camb3lyp,success,-8.058228940465309,-2.4701517770015964,5.588077163463712,0.5577530561728151,1.7261720599537016,0.3231155625284393,-4087.204400250078,-4076.4331471681467,-4076.500997998466,-4086.714498024224,-4087.1724267217232,-4088.4623548759814
977,wb97x-d3,success,-9.094151431338954,-1.305800779336433,7.788350652002521,0.5614734531496869,1.740848786924665,0.322528560416537,-4087.5791530367173,-4076.889372341742,-4076.9682342096776,-4087.096541451504,-4087.497273127405,-4088.741331414668
20778,b3lyp,success,-4.598722078064243,-4.023860432931573,0.5748616451326694,-0.507799371571378,1.3716501997939663,0.37021054759271266,-28696.377859370943,-28690.389373330345,-28691.558280647034,-28698.054566059203,-28698.682792628533,-28701.96499653868
20778,camb3lyp,success,-5.46783927400344,-3.3969879654749233,2.0708513085285167,-0.8120570678085997,1.6908066075643,0.4802779124328196,-28686.991539449802,-28681.300565228557,-28682.543697995297,-28689.046729284353,-28689.661774867727,-28693.126491342035
20778,wb97x-d3,success,-6.339937252350139,-2.5139908299642615,3.8259464223858775,-0.9030524773454706,2.635671617049146,0.3426270827913354,-28691.884782418383,-28686.222812880304,-28687.461348717632,-28694.026370733056,-28693.73130566145,-28698.111804529526
19531,b3lyp,success,-1.0104175283133543,-0.41795928676199273,0.5924582415513615,-3.444471588227403,4.36690225921467,0.788767731395675,-40314.39938944239,-40312.20220257462,-40339.93191973705,-40345.57357819305,-40313.62955033913,-40346.765837587285
19531,camb3lyp,success,-1.572829360313134,0.46729005059100154,2.0401194109041354,-4.013145214231825,4.766716834252837,0.8419097155916686,-40299.07795491038,-40297.314441364266,-40325.2577916561,-40331.034450416446,-40298.402633435086,-40332.01586739452
19531,wb97x-d3,anion_neutral_failed,-2.254846301034978,1.431153408040492,,-4.2089978273314514,,,,,,,,
14380,b3lyp,success,-6.063481252204323,-0.684427530029685,5.379053722174637,0.9494089288684622,2.0665304243841964,0.45942170396614207,-32750.634224589492,-32742.78293176278,-32743.91538765991,-32750.817271557753,-32749.350101602507,-32750.366435618587
14380,camb3lyp,success,-7.502590190936752,0.5386099207141357,8.041200111650888,0.817041496998689,2.137824464095766,0.38218362205162265,-32739.162497313748,-32731.08787802393,-32732.33559286502,-32739.59317065784,-32737.889405244074,-32738.916934538407
14380,wb97x-d3,success,-8.482266026268148,1.4254489820350855,9.907715008303233,0.7152243893163158,2.1396082425007186,0.3342781987418314,-32746.62491382798,-32738.46338523424,-32739.673396773236,-32747.119700977666,-32745.349018566023,-32746.336212634764
18985,b3lyp,success,-6.143605535859384,-1.2946993550120647,4.84890618084732,0.40640767118171045,0.28829771429706785,1.409680517837681,-13544.881885679586,-13536.836322185589,-13537.170551635167,-13544.809707457982,-13544.369772455633,-13544.707965863832
18985,camb3lyp,success,-7.802394073210123,0.009413239609771208,7.811807312819894,0.2691134327703185,0.33550334647655733,0.802118475408776,-13537.241146817167,-13529.000017418884,-13529.296628423763,-13537.268644389274,-13536.64686075522,-13537.051857251012
18985,wb97x-d3,success,-8.862416646530836,0.9229493702787817,9.785366016809617,0.2399922746503363,0.3591615448703221,0.6682014766836668,-13542.288645907298,-13533.969824205084,-13534.237972326808,-13542.316801754372,-13541.654361846386,-13542.083955353542
